,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
296766,296767,B00124YOFU,A6Z70N6L1XSC4,electriczipper,0,0,5,1314316800,Xylitol sweetened Gum.,"Good product! If you are set on chewing gum this is the stuff. You can feel the difference, teeth stay cleaner between brushings. Sugar sweetened gum will degrade your dental health if you are a constant gum chewer like me. I just hope they don't find out something seriously wrong with xylitol down the road. ;)"
259697,259698,B005OTU3HC,A328MC82I5FEH9,"lillet janvier ""petirrojo""",0,0,5,1321315200,Wow! Tasty! Organic!,"I was attracted to the new flavors, non-GMO corn, all-natural flavorings and bag, and the clean packaging.<br />And I was wowwed.  Loved the lemon and seasalt and the rosemary too.  Yes so it's a bit more than typical popcorn, but it's still inexpensive and you know that EVERYTHING is clean, green and tasty.  Good for a tasty snack, kids, and families.  Brought it to a little gathering and everyone loved it."
127536,127537,B005VOONKI,A1V4VVBQBFXRHC,Big-D,0,0,4,1333929600,Floral & Berry Coffee?,"After trying the Marley Coffee, I was pleased with its rich flavors of floral and berry.  This coffee does tend to have a slight  bitter aftertaste, so might be better for individuals who prefer ""stronger blends"".  Another plus is that the coffee comes from all organic sources, and is made of 100% Arabica beans (common among finer coffees).  So for all you coffee lovers out there, this one I definitely recommend."
400523,400524,B0000V8HTU,A2C19IGNMKDQ6K,Short on Time,13,13,4,1191974400,For lovers of strong dark roasts only,"I'm a dark roast lover, but this was too strong for me - regardless of how I made it.  I gave it to a friend who thought it was fabulous.  So here's my advice: don't make it too strong - it becomes bitter, and if you're not sure you like dark roasts....go with the light roast here.  Kona is traditionally very smooth coffee, and this is, but it's truly for strong dark coffee lovers."
469647,469648,B001B16USS,AWDDH5F2HJZTJ,"DalePFence ""Fence""",1,1,5,1238630400,Licorice Candy,Love this stuff and the convenience of the smaller bags. Packs great in lunch boxes and bags.
51931,51932,B0002NYO2K,AFXQAGV2HHO4C,txmarleygirl,0,0,5,1343865600,Awesome,"Had this sent to my best friend's house for making lavender foods and she received it WAY ahead of schedule. It smells amazing and has flavored everything from homemade soups to cookies, even bread. And we still have a TON left!!! A little goes a LONG way, and I love lavender!!!! Will definitely order again in the future!"
270936,270937,B006FKMB1K,A2C1JLHDV6XLNQ,Karene  M Busby,0,0,5,1341360000,variety pack,I felt it was Christmas morning while we opened up the box and looked at each cup.  We received 50 cups with the earlest expiration date wasn't for another 3 months.  Even with that it was only for a 5-9 cups (seasonal flavors).  Most of the expiration dates were at least 6 months beyond.
264052,264053,B004EAGP74,A3125G4FCPIIRN,ladylola,1,1,5,1282003200,loving the coconut oil,"I absolutely love this stuff,i use it for my hair and i no longer have any frizz and i am totally in love with this product."
100845,100846,B000O3EDA6,AF6F7AVUASWEQ,"Mary Bahr ""M Bahr""",0,0,5,1347753600,Almond extract,I use Almond extract alot aroung the holidays...tired of buying those little bottles for almost $3 each....very happy with purchase.  Great price
5719,5720,B002ANCCK6,AAKOCT2HJRWW0,Ari,1,1,1,1299110400,Both my cats threw up after eating this!,"My cats are not picky eaters, and lick their bowls clean of virtually anything i feed them (wellness, fussie cat, fancy feast, bff). I tried feeding them Tiki Cat on 2 separate occasions, and my cats threw up both times. I thought they may have gotten sick the first time from eating something off the floor, but when it happened a second time I was certain it was the Tiki Cat. I'm not sure if I received a bad batch, but I will certainly never be purchasing a Tiki Cat product again."
178817,178818,B001ANZXW6,A1F7GRU14PMV3Z,"M. Joyce ""Big Mike""",2,2,5,1233964800,BEST CANDY EVER!,"My all time favorite!  Very difficult to find in stores.  Great that Amazon has it available.  Outside is chocolate with nut chunks, inside is a creamy cherry filling with a whole cherry in the middle. You have to try this."
189832,189833,B001EO5Q64,A2LCTKLCDRNAQO,sharada,7,13,1,1328313600,This is not coconut oil,"I'm using Nutiva coconutoil since 2008, and I always bought 54oz pacakge. This time I bought 15oz and it's nothing compared to the 54 oz. This is not cocnut oil at all. It is more like dalda(vanaspati)in cosistency and has no coconut flavor/smell at all. I'm disappointed in this product!"
315162,315163,B0060OOXSU,A1HGEBE421ZFT7,Drew S.,3,11,4,1228176000,A no-risk bet for vinegar connoisseurs,"Note the carefully-worded item description: ""over"" 75 years old. That leaves the door open for some really old bottles...and the older the vinegar the better, right? I have it on good authority that some of these bottles are at least 150 years old, meaning that some bottles may contain the very vinegar used to kill President Lincoln! For true vinegar aficionados, such an opportunity should be impossible to pass up. Get a case to save on shipping and increase the odds of owning a piece of history.<br /><br />Goes well with The Prestige on DVD, too!"
299844,299845,B0040J01KQ,A1WHN83VPIAYFZ,gr8fule2,0,0,5,1314576000,Bargain,What a bargain! We got these for less than half of the price we would have paid for them on sale with a coupon. They arrived in good shape with an expiration date about a year from now. The grandchildren are enjoying them.
464761,464762,B000UBD88A,A2P1JPD5NCXGT5,Kay Zahn,1,2,1,1342310400,WTF Amazon ???,"OK - so to start with, I LOVED my Senseo coffee system.  Have gone through 5 machines in 10 years - they eventually leak and cause problems so it's easier to buy another.  That being said the last couple of years it's been harder to find another machine (Ebay mostly) but I NEEDED my Senseo.  Then this past spring (May, June) I stopped receiving my Amazon shipment of PODS and found out that they were becoming obsolete everywhere.  Couldn't get them.  Period.<br /><br />I had to break down and purchase a Tasimo machine and the coffee to go with it (lots of plastic waste in the little cups) but I digress . . . so I've been 2 months with this new machine, and what arrives at my door last week ????  A CRAPlOAD of Senseo coffee pods!!!!!  Not one month's supply but THREE.<br /><br />Now I ask you if I drink coffee everyday, and you stop delivering my coffee for 3 months . . . . how (or why) do you think that when you do come into some inventory that I'd want (or need) to have the three months worth of coffee  . . NOW???  Those days are gone and I invested in a new machine.<br /><br />I'm sending them back, if anyone else needs them ;)"
11923,11924,B001CD1VI4,AEH9FA6TXRV7P,Tank Johnson,0,1,4,1324166400,"Taste 3 stars, Price 5 stars, So 4 stars......","So far have tried two flavors, this and oat & raisins and prefer the other better. This flavor tastes a little bland compared to the other for some reason even though it has more ingredients. But it's not inedible or anything, just a little bland.<br /><br />As for whether it helps you feel full.... I'd say it doesn't for me cause it's just a 3oz size afterall and I'm used to eating a lot more. But I always skip breakfast so eating this is better than nothing considering studies show breakfast is the most important meal of the day. Eating breakfast also helps you lose weight and raise metabolism.<br /><br />I'd give the taste 3 stars but bought it for amazing $2 (17 cents each cookie) so price gets 5 stars which avg out to 4 stars."
525896,525897,B005FQH3B8,A2CZUD6FNYGGVC,M S,0,0,5,1309737600,My cats LOVE them!,"If you subscribe, you save and you don't have to trek to the store to buy these bulky boxes. I thought purchased enough for a 2 months supply but no, my cats must not be felines because they have appetites like pigs. ;) I have to change my subscription so that they deliver more frequently."
500252,500253,B000YUOWVO,A2LM2MPXHVQJ8Z,Doog,1,1,5,1232150400,Lets coffee taste come through,"Discovered this at a hotel breakfast buffet, and was happy to find it on Amazon.  Just the right amount of sweetness.  I've always used the refrigerated versions of Coffeemate creams, but for some reason sweetened original is not an option.  The nice part about this cream is that you can taste the coffee rather than the flavoring of the cream.  I can't drink coffee ""black"", so this is the closest I can get to enjoying the coffee itself.  It's A LOT of cream to have on-hand, but it keeps well, especially since it does not require refrigeration."
379275,379276,B001TM70XS,A1DOYAG1YBL77A,JJ Stein,1,1,5,1347235200,The cats like it :),"I don't really know how to review cat food, but my two Bengals seem to love this stuff. One of them eats every flavor Weruva, but the other will only eat the Mack and Jack. I like that I can see the pieces of fish in the food, it's not some mystery ground product like some brands I've seen.<br />Shipping is always super-fast."
102517,102518,B001AG68BI,A2ZBHH9PYO7CH5,C. Alyea,0,0,5,1125964800,Love Licorice,If you are a licorice lover this tea will be a special<br /><br />treat without all the calories.
283379,283380,B004NPYLGM,A3FUE5U4WQGIIF,Vivliv,2,2,5,1318464000,ENERGY in a bottle!!,This water is the first thing I have found that gives me energy on tired days.  Better than coffee which actually makes me tired.  Get it!  You won't regret.  It tastes great and is refreshing and energizing for your BLAH tired days- or for everyday! I usually don't write reviews but I love this stuff.
565383,565384,B001EO5U3I,A8A6YNMC1T3YX,E. Michele Way,4,4,5,1280448000,Try Cooking it Overnight,"I tried steel-cut oatmeal for the first time this week and I am hooked! I'll never go back to regular oatmeal again! I cook mine overnight in the slow cooker using a variation of Alton Brown's Overnight Oatmeal recipe, substituting raisins for the figs just because I like them better. My slow cooker tends to run hot so I put the temperature to ""warm"" overnight and then crank it up to ""low"" about an hour before serving (just enough time to have coffee and read the morning paper!).  My family devoured it and asked for more! Pretty good for folks who don't normally even eat breakfast!<br /><br />[...]."
92897,92898,B004YV80OE,A199FRO0YFMGED,Olivia,0,0,4,1317254400,Really Lovely!,"When the kids saw Orzo, they were disappointed, because they are not big fans of rice. But the taste sold them.<br />Not giving it 5 stars due to ""Broccoli dust"" every body complained about. I added real broccoli though.<br />Will buy more."
118676,118677,B006SW2DYA,A34MIG3U61IFAS,FlamingoMom,0,2,2,1308355200,Metallic Taste is the Deal Breaker,"Purchased this to use for travel as it's difficult to find iced coffee in most hotels & using water to mix makes it the perfect travel drink. I so wanted to love this. You have to shake vigorously - preferably using a shaker with a stirring ball or filter - as it's VERY grainy & takes about 2 minutes of solid shaking. Grainy I can live with, but the taste is the deal breaker. It has an incredibly strong metallic taste. The only way to soften the taste is to add lots of milk, which defeats my purpose of bringing a water mixing drink to travel. It's expensive for the convenience and would have been worth it - if only I could drink it. Oh well, the search for a traveling, water mixing iced coffee continues."
387583,387584,B00271NNLI,A1KMEWEKF7HYJ9,Don,1,1,5,1340841600,Great Coffee,Some of the BEST COFFEE I've ever tasted. If this coffee doesn't go much higher in price I will still be buying it. Much better than the Senseo Coffee I can no longer get at a good price.
479030,479031,B001E5E074,A3BH49ZKESHDID,Fred Camfield,2,3,3,1312156800,"OK, but...","This might be an excellent cereal, but the boxes that I bought had large pieces stuck together that were hard as a rock and dangerous to the fillings in your teeth.  They can be manually broken apart, but that is a lot of extra trouble.  Other than that, the flavor is good.  It does have a significant amount of fiber, and a reasonable amount of protein.  There is a potential problem with sodium deficiency if you eat too many foods low in sodium (that can cause muscle cramps, especially in your legs)."
53134,53135,B001E50T3S,AWHX4MU793H5R,queenbee,1,1,5,1304726400,The only Crystal Light Flavor I drink!!,"I have tried a few of the Crystal Lights and the Raspberry Ice Tea is the only one that I LOVE.  I hope they do not stop producing it, I will be lost without it."
432123,432124,B000OX3YY2,A3R5XA43EVLMM5,Carol A. Bangerter,0,0,5,1341705600,Dog treats,This is an excellent treat for dogs.  Our dog loves them and it is a healthy alternative to some other chewies.
258742,258743,B006N08SPA,A24FKYN37O5BWW,Craig Williams,8,8,5,1238284800,A great tea!,This is a really good tasting tea and I should know! Having lived all over the world I love many English teas and this definitely great. I brew each k-cup twice into a big mug and it works well.<br /><br />You can also brew these twice (medium) cup so the price works well.
49733,49734,B000CRHQN0,A1U622ZNX65SFI,SHRIRAM KRISHNAMOORTHY,6,8,1,1288137600,really tastes bad,"Tastes really bad.  A strong Chemical after taste.<br />zero grams sugar, but still products tastes sweet -- loaded with chemicals and artifical sweetners<br />one bite and it fills your stomach.  A bloaty feeling just after a couple of bites.<br />a definete NO-NO for any one 12 and younger.  But also not recommended averse to eating food with unnaturnal ingrediants.<br /><br />Since Amazon does not accept return of grocery items - I had to trash the product."
290688,290689,B003ZT817W,A2K1LO5P5SNAGM,Judith Kay Morrison,1,1,5,1295740800,The Best Treat,"This has been such a joy in my life.  I am a diabetic and it is so nice to have some decaf, sugar free coffee when I want it.  This makes it easy for all my guests to have a choice of their regular coffee or General Food International Coffee.  Love it"
17573,17574,B0000GH6UQ,A1TM3E60K7H6MU,A. Childress,1,1,5,1299024000,Can't believe I haven't tried it sooner...,"I'm angry that I didn't try this sooner.  It beats the pants off of the powdered stuff in pre-measured packets, that's for sure!  I love the hint of cinnamon.  When I made the first batch, I thought that it may have a grainy feel, because it looks a little grainy, but it does not have a grainy mouthfeel at all.  My husband was hesistant (he thinks cinnamon smells like armpits (???)), but anyway, he was in love with it, too.  Wish I would have tried this many years ago!"
378311,378312,B008FHUGNQ,AZEEJAGXCNWUQ,mrfixit,0,0,5,1303948800,Jet Fuel K Cups,"I LOVE this product! It is a strong, dark roast, full of flavor, with a wonderful aroma. Not for the feint of heart! My only 2 problems with this coffee are, 1: No one carries it locally, so I can only get it through Amazon (Not really a problem), and, 2: I zoom through a box of it way too fast, because it's soooooo good!"
203627,203628,B004O5XB9Y,A1PR7725E8TCNE,"Builtmany ""Ralo69""",2,9,2,1325721600,Not worth it,"Requires 2 capsules to make a good cup of coffee over, 8 oz or more. If you follow the directions on your CBTL machine and use just 1 you will end up with watered down and weak coffee. Using 2 caps is just not economical and defeats the whole purpose of the design. K-Cups are better for coffee then these little cups that only hold 1/2 the coffee needed for the job. Making 10 or 12 oz coffee with this is really just hot water."
562759,562760,B0009YJ4CW,AVID3BSKDHS5D,Greg Groth,0,0,4,1297641600,Great challenge...,I think the design is great for this treat delivery toy.  The large puck shaped things are too easy for my dog to remove so I load one of those and some dog biscuits into the ball once he gets the puck out I take that away.  Too much treat at one time for him.  He doesn't mind cause I think he likes his biscuits better anyway.  After tonight's 4 mile hike he is still into his everlasting... stuffing it with his normal biscuits keeps him entertained and preoccupied. He has brought it to me tonight about three times.  Each time I say Yep there is more... and toss it back to him...
24863,24864,B000G0EP78,A2GG0TZ37JFWLC,WmbgGrl,0,0,2,1332115200,works but funky odor/taste,I read through all the reviews before buying this product hoping that I wouldn't be one of the people who noticed the odor and weird aftertaste. Unfortunately it was just too pronounced.  I made a couple things with the mix and my family and I all found it awful.
535345,535346,B000FDBRGI,A1QORFORKS6QSK,Betty Stafursky,1,1,5,1234656000,My Favorite Brand of Rye Crackers!,"The Ryvita Dark Rye is my favorite brand of Rye Crackers.  I've tried Wasa and Kavli brands and enjoy the Ryvita best of all.  It has a better taste and a nice crisp texture.  Great with goat cheese, smoked salmon or nut butter for a healthy snack!  Rye is one of the least glutenous grains. Ingredients of this product are simple - just whole grain rye flour and salt."
399134,399135,B000VK4K3W,A29JBDORT8V4LY,V,1,2,1,1342310400,cat hates it and it made her sick,Very disappointed.  Made my cat sick.  Total waste of money.  Back to just eating tuna for our girl.  Can't afford to waste money.
293201,293202,B000LKXNG2,A36VGXGQTCRH7M,S. Jewett,0,0,5,1234569600,Good stuff,"I initially got this for my lemon cleanse. Since you can eat up alot of money for a 10 day cycle, this is a good bang-for-the-buck option. I had some left over and started to use it with my oatmeal. It was so good with it, my wife started eating it as well! (and she hates oatmeal).<br /><br />Compared to other options at the stores, you really cannot beat the price for this organic option. I will be buying more soon!"
474176,474177,B001717TQO,A2BC44L1R848NH,Trish,0,0,1,1342051200,Not worth the money,"I bought the top sirloin hoping to finally get a ""good"" steak at home.<br />The first ones we cooked....could hardly cut with a steak knife.<br />The second time we tried them, I tenderized for quite some time.<br />They were more edible that way, but still nothing better than I could have bought at the local grocery store.<br /><br />Except for the packaging, there is nothing good I can say about these steaks.<br />If you figure the price per pound, these steaks should cut with a butter knife.<br /><br />Will never buy again."
172165,172166,B001EQ5JV4,A3OBXQSZE9D3SC,A. Mccombs,2,4,5,1198713600,My Nuts are Delicious!,And I mean that in the best way... these are tasty and everything I would expect if bought at the local store!
47133,47134,B000GJ3JUS,A3VT7VGDWCIYYQ,"Dexbet ""digbeesmith""",0,0,1,1337644800,Rip Off,"I bought this product in the plastic tray format, and when I got home and opened the package I was in for a suprise.  Not only was the product no where near as good as I remembered it to be, but it had a 3"" by 4"" label smack dab in the middle of the front.  When I opened it, yup, no candy underneath the label.  Talk about 'false advertising'.  Will never buy these again just on principle.  This company evidently doesn't care about a loyal following.  Fool me once..."
152718,152719,B0018CIPS8,A2V4MBQUKNNXO7,Catherine,0,0,5,1348444800,The only one!,"My mothers cat got very sick from stress & a poor diet of fancy feast for 18 years! Mocha, is a very picky old cat and was vomiting & urinating all over the house. After multiple visits to the vet we tried over 15 different kinds of cat foods to no avail! She was not eating AT ALL! In a last attempt I took a friends recommendation and tried the canned wild salmon food........ & oh my! I was scared Mocha was going to choke, she was eating so fast! It has been about 2 months now & she is a whole different kitty! Healthier & happier than ever! Thank you so much! This food literally saved her life!"
288024,288025,B007JT7AEY,A3EK2KTYHJCPB9,Brian A. Roush,1,1,5,1344470400,Cleans well,"I don't have much problems with dandruff so much as sometimes just having an itchy scalp.  I've always tried to use some dandruff shampoo at least a couple times per week because it seems to help.  This shampoo is well geared toward men - not much scent, lathers well, and works.  The lather is very dense, and the shampoo cleans well.<br /><br />This particular variety is supposed to ""Refres"", which I'm guessing is why the ingredients include menthol and one other incredient not found in some of the other variations.  Some shampoos with menthol have set my head tingling immediately - I don't notice that with the Clear brand.  If it does anything, it's barely perceptible to me.  Scent is the same as the other variety I tried - basically, a fresh apple sort of smell.<br /><br />My only complaint is the bottle - it's top heavy and one of the two bottles I received had leaked even though the lid was taped shut.  Therefore, I wouldn't throw this in a suitcase or gym bag."
382103,382104,B005HB4HHO,AQG3YML56OSUV,"Sparkle Phillips ""GreatRelationshipBooks com""",4,5,5,1268438400,"Slightly pink in color, but salt non-the-less.","Can't tell it is any different than normal salt, except for a slight pink tinge. But if it has all the great minerals and stuff... all the better!"
272382,272383,B003DA54JQ,A21BJ63Q3KUX7U,"deannaq1 ""deannaq""",0,2,5,1323302400,Hambone,"OMG this bone was gone in 5 minutes! My lab ate the entire thing. I gave it to him, turned my back....and POOF! It was gone."
222646,222647,B003VZBGIG,AYCD5Q1I3OBWV,Matthew M.,2,2,5,1294531200,Absolutely awesome that Amazon carries this item now!,"So, I absolutely love Honey Nut Clusters.  I think it's something bordering on criminal that I can't find this cereal anywhere in my local market (Spokane, WA).  It's been several years since I've been able to enjoy a bowl.. and now I'm quite excited that I have 3 boxes on the way!  Thank you Amazon.<br /><br />As for the review.. I think Clusters cereal is about the best that I've ever had.  Yum.<br /><br />- Matthew"
118323,118324,B007RTR89S,AM18CU72YEWH5,A. J Terry,0,0,4,1341187200,"Badly designed bottle, OK shampoo for UNcolored hair","The bottle for this shampoo has an opening that you lever up when you want to put shampoo on your hair.  The problem is that it also levers up easily during shipping, meaning the bottle is covered with shampoo when it arrives.  Amazon did wrap the bottle in a plastic bag to limit the damage, but the manufacturer should really design a bottle that doesn't leak, or at least seal the top with plastic tape.<br /><br />Clear Scalp & Hair Therapy has a strong, lingering fruity scent. Whether you like it will be a matter of taste. I color my hair, and I was hoping that a ""damage and color repair"" shampoo would do a good job of preserving color. I can't speak to the damage repair part, but it's not a very good color preserving shampoo. I would recommend it for someone with average, uncolored hair."
398786,398787,B001D09KAM,A39RMTD780WVJF,"A. R. Smithee ""Rayjay""",0,0,5,1307923200,TASTY CHOCOLATE TREAT,"These bars do not qualify as high protein or health bars, but exceed in the taste department. Contain all natural ingredients, which will give you instant energy for that tennis game or other favorite sport. Not recommended as trail bars, because heat will melt the dark chocolate in the bar. Can be refrigerated. The three main ingredients are almonds, dark chocolate and cherries, in that order. They do contain some added vitamins. Recommended."
530736,530737,B0014ATRV8,ARXU7TM4XXI1D,"Emma M. Diaz ""Emma R.""",3,3,5,1332288000,No more breast milk!,"Let me start off by saying that I am not a tea drinker at all! I am more of a coffee person. Anyway, I decided that I was gonna dry up my milk supply and read somewhere that sage tea decreases milk supply. I went ahead and ordered this tea for that purpose. It says on the box that the tea is very bitter so I went ahead and added 1 teaspoon of honey. It worked perfectly. I do see that it has diminish my need to pump dramatically. I went from pumping 4-5 times a day to twice a day the 1st two days since I started drinking the tea. Yesterday I only did it once and today none so far. I am not in pain, though my breasts are still tender to the touch. I would 100% recommend this to any mother trying to stop her milk supply."
465939,465940,B002DWIRSA,A24L3YSJ3U31SQ,"R. DIAMOND ""RJ""",0,0,5,1299024000,My dog wont touch anything else!,My dog will only eat Stella and Chewy's carnivore kisses and Carnivore Crunch. Seriously she sticks her nose up at any other treats I've tried to give her. I've trained her to do all sorts of things for these treats. She goes insane for them. We went to the pet store a few days ago and she managed to find stella and chewy treats out of everything in the whole store. There the best!!!
266173,266174,B000GPHIOK,A9PU7W25YVBQJ,"William Farah ""Wm, Frh""",1,1,5,1184544000,peppercorn spice gind,"This product is a good take on whole corn pepper spice. It is a bit heavy on the black pepper (India), but can keep your potency and flavor for your fine taste needs at a applicable pricing scale."
209461,209462,B003YIMENG,A2ICJ2HLBYNIM6,"David S. Nyce ""Dave""",1,1,4,1349222400,Better than Julian's Bakery,"The Julian's Bakery 2 carbs bread and the raisin cinnamon bread used to be great.  I tried the new Paleo breads and they were so awful that I had to spit them out.  Then I re-ordered the 2 carbs and the cinnamon raisin, but they have a new recipe.  Now they are terrible, but not quite as bad as the Paleo.  I was able to eat one slice of each, but then threw out both loaves.  I hope they go back to the old recipe.  I'm so disappopinted with the new recipes, because they used to be very good.  I remember that Carb Krunchers used to have good bread, so I'll go back and try them again."
301212,301213,B003Z6ZGZK,A3RU7QI4PLON76,fancydancey,0,0,4,1323043200,great instant coffee,"We ordered these coffee packets to use during travel over the holidays.  They are easy to carry and taste much better than any instant coffee I've ever tried.  They come in very handy when you need a mid afternoon coffee break while visiting relatives.  My coffee arrived directly from Starbucks with an April 2012 expiration date-about 5 months away.  The only improvement they could make on this product is to design a package that is easier to open.  While the packs are small and easy to carry, I haven't been able to open one without scissors.<br />Great product-highly recommended.  I think I'll try to add one to some hot chocolate next."
192513,192514,B006GA666U,A1CBTI7MJP07U9,Jim Schulz,0,0,5,1279929600,Great Kcup coffee!,We tried several K cups and settled on Emeril bold as our favorite . We have a regular monthly order and get a great price in return . Very pleased !
196372,196373,B004LLD27M,AYNQXT8018INL,"PW ""Hockey Mom""",0,0,5,1324080000,Great Food,"We discovered the difference in the quality dog foods when I started searching for a new food because of repeated ear infections.  We recently switched to Organix after the Innova plant was bought out.  I tried several other foods but this is the best.  My dog loves it, her coat is shiny and thick.  She has had no problems switching to it.  She is spoiled, and has to have a small amount of human food mixed in her dry.  I can take a tablespoon of Organix canned and mix it with this and she eats the whole bowl.  In the past she would turn her nose up at any canned mix-in.  I highly recommend this food and I highly recommend Amazon for the best price."
353808,353809,B001B38CIM,A2AP3HTO6ZBEIN,Rick,1,1,2,1346544000,Tainted product,"I have purchased this product 3 times using the monthly subscription process.<br />  The first case had multiple tainted bags. By tainted I mean that some portion of the product in the bag had turned to a powder consistency and smelled foul. I didn't realize it the first time, and after feeding it to my dog, it made him sick for a few days. I assumed that this was an anomaly, so I removed the bad bags, and let the subscription continue. The second and third cases also had a couple of tainted bags.<br />  As I see it, since I'm having to throw away multiple bags per case, purchasing this way is not a good deal. Instead, I'm going back to purchasing cases of this product from Sam's Club. Those cases never had bad bags."
53614,53615,B0016687F2,A3PWFHQV12WEQV,"M. Lawrence ""mal1981""",1,1,5,1310083200,Love it!,Great taste and excellent nutritional value. Would definitely recommend to someone looking for a high protein shake or meal replacement. This fills me up a lot more than a standard protein shake. Will buy again...
193195,193196,B0000DJDJZ,A11TARLASSV10N,Nicholas Blanchard,2,2,1,1327449600,Slightly reminiscent of cough syrup.,"There are just some foods that bring the kind of nostalgia that washes over you like warm tropical water lapping at your feet... this syrup certainly jolted me back to my childhood... that is, being sick and being force-fed Robitussin.<br /><br />Maltitol must surely be what sweetens Robitussin.  Seriously, it's quite distinctive."
408935,408936,B000XSGMHO,ADU5191F36UPG,David N. Nedde,0,0,5,1240012800,Tasty and healthy,"These toaster pastries taste, especially when toasted.  I avoid anything with partially hydrogenated vegetable oil, and these fit the bill.  I include them in my daughter's lunch and also have them for snacks.  They are 210 calories apiece, which is a bit much for a snack, but you can always cut them in half.  A case is a lot of toaster pastries, but we are not getting sick of them, and you can also use these for groups of kids, like after soccer games, etc.  The price is less than the local health food store, and now I don't have to make a special stop to pick them up."
112868,112869,B00269E36U,A1HHKZVA876ICH,"Happy Go Lucky ""discerning reader""",0,0,5,1338422400,Best instant coffee hands down!,"Let's be honest, a brewed cup might be a little bit better, but I really like this instant and it just makes it easier at the office where we have hot water, but no coffee maker. It is really inexpensive as the coffee is in really small granules and the jar is really big and so it makes tons of cups of coffee.  I like to be highly caffeinated and this works for me.  I also get the Vanilla flavor sometimes.  It's quite good also.  Thanks Ben for turning me onto this great coffee!"
334565,334566,B0042RBHDG,A2GVH7DHKK04B2,John K. Waskiewicz,0,0,5,1332028800,Good cocoa at reasonable price,"I like a nice strong mocha each day and use this mix to make a dark, rich hot chocolate which I then blend w my coffee. I have tried many mixes and this one suits my tastes b/c it's darker and richer than other hot chocolate mixes I have tried."
470510,470511,B001D9ZV5G,A3BUTOVBGZ5O5O,Brenda Serating,0,0,5,1330387200,I saw a difference in my dog,"I gave my  14 year old terrier these treats and really believe that these have helped him to feel better. He has lately been playing with his ball, (he self plays and had not been doing this for years) happy to watch him on long walks. He is very happy to keep walking. He is doing very well"
475446,475447,B000EYLK2Y,A2XCZRZNAQBOBN,Cathie,1,1,5,1192752000,"Yummy, Yummy, Yummy!",These soy nuts are the perfect snack.  Just the right amount of sea salt and satisfying.  I also love that they are organic and not made from GMO soybeans.
563037,563038,B007JFMH8M,A29SZ6ZTP4MH9H,Mark in Idaho,0,0,2,1343174400,Mealy texture for an oatmeal cookie,These cookies would be better if they were made with rolled oats instead of oat flour. The crumbly and mealy texture does not provide an enjoyable experience.
402956,402957,B000FVW4OY,A8IMWE5BZ2HDV,"Gerre S. Deibert ""writer-to-be""",5,7,2,1190592000,Could be better.,"The nuts are too hard for my teeth.  Also, delivery was made by UPS, which must have put the items on their truck in the morning but didn't deliver until 7 o'clock that evening.  By then, in the Florida heat, the chocolate coating had melted and stuck to the wrappers.  Would not order by mail again."
251576,251577,B001SITYJ6,A25F1MJM7NG19C,J. DeFelice,2,3,1,1342915200,Is it meat?,"I have been trying to find a good brand of jerky that I don't have to order online.  I finally tried Jack Link's original.  Way too sweet, doesn't taste like meat, and most of the pieces don't have the texture of meat.  At times, I thought I was eating plastic.  Or some soy meat-substitute.  I couldn't even make it through the whole bag.  I miss the original Pemmican..., before ConAgra sold the brand and it got ruined..."
25199,25200,B000FZRYPO,A1KLAN2A1JLEWA,Diana Williams,8,8,5,1191628800,Best Low-Carb Pasta Yet!,"I've tried several different brands of low-carb pasta including Dreamfields and Al Dente is the best. You can't tell that it's low carb. In fact, I used it in a soup that I made for a group and everyone went for seconds. I paid less getting it at Amazon than I would have at the Al Dente site. Got free shipping too so it only cost me $2.50 a bag."
446574,446575,B0017ZBT6Q,A1O8705Z72WFK9,Sylvia parke,0,0,4,1311292800,very sweet!,I like this cookies.<br />Raspberry jam filling in the cookies tastes very good.<br />But.. It's too sweet for me.
410725,410726,B003L4BV5U,ASBLUZWS98EM2,"SoCalAvAZ ""SoCalAvAZ""",3,4,3,1302480000,"Great concept, not so great in execution","When I saw this product I thought it was absolutely the best thing out there that was going to make my life so much easier.  So I ordered them and they come in the 4 pack here so you'll have 8 spoons.  It was slightly less than the price I see today for 8 of these.  Other sites are cheaper but you only get 2 and you end up paying around $7-8 for just the 1 pack (2 spoons) so I figured why not get more.  I now regret it ...<br /><br />The spoon is a bit too deep and big for my 9 month old.  She uses the ""NUK Gerber BPA Free Soft Bite Infant Spoon"" and those are very soft, not as deep, and just the right size.  These spoons are plastic and too big for her mouth.  I would say it's okay and that she'll grow ""into"" it but the foods they fit on are for 6 month old babies so it doesn't make sense to have a spoon this big.<br /><br />Well, I still love the idea so I'll keep trying but up until now I've had no luck with her eating out of these."
419926,419927,B003YZ3LHC,A3AY7FXKVL9ZX6,Mud,3,4,5,1296864000,Aw ye.,"Have ordered these on multiple occasions. Have a significant other that digs these, and massive amounts of someone's favorite candy is a great gift when you need one. They always arrive quickly, in great condition, fresh and everything.<br />Sour Skittles are tasty.<br />Oh, plus these are the bigger packages of them, which is neat."
